Category,Option_Name
Salads,Mesclun Quinoa Salad
Salads,Pulled Chicken Caesar Salad
Salads,Yuzu Corn Salad
Sandwich,French Onion Grilled Cheese
Sandwich,Furikake Avocado Toast with Jammy Eggs
Sandwich,Sour Dough Grilled Chicken and Avocado Sandwich
Soup,Ragi collagen chicken soup
Soup,Vegetable millet broth
Protein,Herbs Marinated Chicken Breast
Protein,Soyu egg
Protein,Steamed Edamame
Protein,Paneer grilled
Combos,Protein Chicken Collagen Millet Kanji
Combos,Ragi Jowar Chappathi combo
Accompaniments 1,Shirazi salad
Accompaniments 1,Cut fruits
Accompaniments 2,Roasted sweet potato
Accompaniments 2,Steamed Edamame
Accompaniments 3,Crunchy Nut mix
Accompaniments 3,Maple Togarashi Spiced Nuts
Snacks,Peanut butter and banana toast
Snacks,Chocolate Chips Oats Cookies
Snacks,Greek Yogurt Granola Bowl
Snacks,Protein Peanut Butter Brownie
Detox smoothies,ABC Smoothie
Detox smoothies,Mint Pineapple Spinach Smoothie
Detox smoothies,Monkfruit lemonade
Gut boosters,Amla Turmeric Kanji
Gut boosters,Beetroot Carrot Kanji
Gut boosters,Masala Chaas
Gut boosters,Pineapple Gut Booster Tepache
Protein smoothies,CBP Protein Smoothie
Protein smoothies,Chia Peanut Butter Protein Smoothie
Protein smoothies,Chia Protein Smoothie Chocolate
