Week,Day,Lunch,Drink,Dinner
Week 1,Mon,Mesclun Quinoa Salad + Chicken,ABC Smoothie,Vegetable millet broth + Soyu egg
Week 1,Tue,Yuzu Corn Salad + Paneer,Mint Smoothie,Ragi collagen chicken soup + Soyu egg
Week 1,Wed,Protein Chicken Collagen Millet Kanji,CBP Protein Smoothie (MR),Mesclun Quinoa Salad + Soyu egg
Week 1,Thu,Chicken Sandwich + Chicken,Masala Chaas,Vegetable millet broth + Paneer
Week 1,Fri,Pulled Chicken Caesar Salad,Monkfruit lemonade,Yuzu Corn Salad + Soyu egg
Week 1,Sat,Ragi Jowar Chappathi combo,Chia PB Protein Smoothie (MR),Vegetable millet broth + Soyu egg
Week 2,Mon,Mesclun Salad + Paneer,Beetroot Kanji,Ragi collagen chicken soup + Soyu egg
Week 2,Tue,Yuzu Salad + Soyu egg,ABC Smoothie,Vegetable millet broth + Paneer
Week 2,Wed,Protein Chicken Kanji,Chia Protein Smoothie (MR),Mesclun Salad + Paneer
Week 2,Thu,Pulled Chicken Caesar Salad,Mint Smoothie,Yuzu Salad + Soyu egg
Week 2,Fri,Chicken Sandwich,Tepache,Vegetable millet broth + Soyu egg
Week 2,Sat,Ragi combo,CBP Protein Smoothie (MR),Mesclun Salad + Soyu egg
Week 3,Mon,Yuzu Salad + Paneer,Amla Kanji,Vegetable millet broth + Soyu egg
Week 3,Tue,Mesclun + Chicken,ABC Smoothie,Ragi collagen chicken soup + Soyu egg
Week 3,Wed,Pulled Chicken Caesar Salad,Mint Smoothie,Mesclun + Paneer
Week 3,Thu,Protein Chicken Kanji,Chia PB Smoothie (MR),Yuzu + Soyu egg
Week 3,Fri,Chicken Sandwich,Masala Chaas,Vegetable millet broth + Paneer
Week 3,Sat,Ragi combo,Chia Protein Smoothie (MR),Mesclun + Soyu egg
Week 4,Mon,Mesclun + Paneer,ABC Smoothie,Vegetable millet broth + Soyu egg
Week 4,Tue,Pulled Chicken Caesar Salad,Tepache,Ragi collagen chicken soup + Soyu egg
Week 4,Wed,Protein Chicken Kanji,CBP Protein Smoothie (MR),Yuzu + Paneer
Week 4,Thu,Chicken Sandwich,Mint Smoothie,Mesclun + Soyu egg
Week 4,Fri,Yuzu + Soyu egg,Amla Kanji,Vegetable millet broth + Paneer
Week 4,Sat,Ragi combo,Chia PB Smoothie (MR),Vegetable millet broth + Soyu egg
