Week,Day,Dinner Main,Dinner Protein,Dinner Acc1,Dinner Acc2,Dinner Acc3,,,,,,,
Week 1,Mon,Ragi Jowar Chapathi Chicken meal combo,Chicken curry,Toor dal fry,Mixed Vegetable Thoran,Cucumber Raita,,?349.00,?99.86,?149.00,?19.85,?33.66,?651.37
Week 1,Tue,Yuzu Corn Salad,Steamed Edamame,Cut fruits,Roasted sweet potato,Crunchy Nut mix,,?199.00,?249.00,?49.00,?99.00,?49.00,?645.00
Week 1,Wed,Sour Dough Grilled Chicken and Avocado Sandwich,Steamed Edamame,Cut fruits,Steamed Edamame,Maple Togarashi Spiced Nuts,,?349.00,?249.00,?49.00,?249.00,?49.00,?945.00
Week 1,Thu,French Onion Grilled Cheese,Soyu egg,Shirazi salad,Roasted sweet potato,Crunchy Nut mix,,?264.84,?49.00,?131.70,?99.00,?49.00,?593.54
Week 1,Fri,Sour Dough Grilled Chicken and Avocado Sandwich,Paneer grilled,Cut fruits,Roasted sweet potato,Crunchy Nut mix,,?349.00,?249.00,?49.00,?99.00,?49.00,?795.00
Week 1,Sat,Pulled Chicken Caesar Salad,,Cut fruits,Steamed Edamame,Crunchy Nut mix,,?399.00,,?49.00,?249.00,?49.00,?746.00
Week 2,Mon,Furikake Avocado Toast with Jammy Eggs,Paneer grilled,Cut fruits,Steamed Edamame,Maple Togarashi Spiced Nuts,,?399.00,?249.00,?49.00,?249.00,?49.00,?995.00
Week 2,Tue,French Onion Grilled Cheese,Herbs Marinated Chicken Breast,Shirazi salad,Roasted sweet potato,Crunchy Nut mix,,?264.84,?299.00,?131.70,?99.00,?49.00,?843.54
Week 2,Wed,Sour Dough Grilled Chicken and Avocado Sandwich,Herbs Marinated Chicken Breast,Cut fruits,Roasted sweet potato,Crunchy Nut mix,,?349.00,?299.00,?49.00,?99.00,?49.00,?845.00
Week 2,Thu,Ragi Jowar Chapathi Chicken meal combo,Chicken curry,Toor dal fry,Mixed Vegetable Thoran,Cucumber Raita,,?349.00,?99.86,?149.00,?19.85,?33.66,?651.37
Week 2,Fri,Pulled Chicken Caesar Salad,,Cut fruits,Steamed Edamame,Maple Togarashi Spiced Nuts,,?399.00,,?49.00,?249.00,?49.00,?746.00
Week 2,Sat,Ragi Chicken Collagen Broth,Steamed Edamame,Shirazi salad,Roasted sweet potato,Crunchy Nut mix,,?149.00,?249.00,?131.70,?99.00,?49.00,?677.70
Week 3,Mon,Pulled Chicken Caesar Salad,,Cut fruits,Steamed Edamame,Crunchy Nut mix,,?399.00,,?49.00,?249.00,?49.00,?746.00
Week 3,Tue,Sour Dough Grilled Chicken and Avocado Sandwich,Soyu egg,Shirazi salad,Roasted sweet potato,Crunchy Nut mix,,?349.00,?49.00,?131.70,?99.00,?49.00,?677.70
Week 3,Wed,Yuzu Corn Salad,Herbs Marinated Chicken Breast,Cut fruits,Steamed Edamame,Maple Togarashi Spiced Nuts,,?199.00,?299.00,?49.00,?249.00,?49.00,?845.00
Week 3,Thu,Vegetable millet broth,Herbs Marinated Chicken Breast,Shirazi salad,Roasted sweet potato,Crunchy Nut mix,,?78.62,?299.00,?131.70,?99.00,?49.00,?657.32
Week 3,Fri,Protein Chicken Collagen Millet Kanji,Omlet,chutney,Mixed Vegetable Thoran,Maple Togarashi Spiced Nuts,,?199.00,?25.00,?14.57,?19.85,?49.00,?307.42
Week 3,Sat,Mesclun Quinoa Salad,Soyu egg,Cut fruits,Roasted sweet potato,Crunchy Nut mix,,?299.00,?49.00,?49.00,?99.00,?49.00,?545.00
Week 4,Mon,Furikake Avocado Toast with Jammy Eggs,Herbs Marinated Chicken Breast,Cut fruits,Roasted sweet potato,Maple Togarashi Spiced Nuts,,?399.00,?299.00,?49.00,?99.00,?49.00,?895.00
Week 4,Tue,Mesclun Quinoa Salad,Herbs Marinated Chicken Breast,Cut fruits,Roasted sweet potato,Crunchy Nut mix,,?299.00,?299.00,?49.00,?99.00,?49.00,?795.00
Week 4,Wed,Vegetable millet broth,Paneer grilled,Cut fruits,Steamed Edamame,Maple Togarashi Spiced Nuts,,?78.62,?249.00,?49.00,?249.00,?49.00,?674.62
Week 4,Thu,Pulled Chicken Caesar Salad,,Cut fruits,Steamed Edamame,Crunchy Nut mix,,?399.00,,?49.00,?249.00,?49.00,?746.00
Week 4,Fri,Protein Chicken Collagen Millet Kanji,Omlet,chutney,Mixed Vegetable Thoran,Maple Togarashi Spiced Nuts,,?199.00,?25.00,?14.57,?19.85,?49.00,?307.42
Week 4,Sat,Ragi Jowar Chapathi Chicken meal combo,Chicken curry,Toor dal fry,Mixed Vegetable Thoran,Cucumber Raita,,?349.00,?99.86,?149.00,?19.85,?33.66,?651.37
,,,,,,,,,,,,,"?16,982.38"
